PO_ID,PO_Date,Supplier,Category,Quantity_Ordered,Unit_Cost,PO_Value,Promised_Delivery_Days,Actual_Delivery_Days,On_Time,Late_Days,Opening_Stock,Demand_Units,Received_Units,Closing_Stock,Stockout
PO100063,2025-06-25,Supplier_14,Electronics,1,331.19,331.19,3,4,No,1,192,35,1,0,Yes
PO100064,2025-11-11,Supplier_15,Electronics,13,497.44,6466.72,3,14,No,11,473,52,13,434,No
PO100065,2025-02-08,Supplier_12,Home & Kitchen,8,109.54,876.32,9,13,No,4,300,22,8,286,No
PO100066,2025-08-13,Supplier_08,Home & Kitchen,17,481.6,8187.2,5,11,No,6,475,29,17,463,No
PO100067,2025-06-24,Supplier_10,Electronics,8,218.71,1749.68,6,8,No,2,223,44,8,0,Yes
PO100068,2025-03-25,Supplier_04,Electronics,2,75.37,150.74,4,5,Yes,1,326,51,2,0,Yes
PO100069,2025-10-03,Supplier_06,Home & Kitchen,16,226.27,3620.32,7,17,No,10,130,29,16,0,Yes
PO100070,2025-07-26,Supplier_07,Electronics,8,400.71,3205.68,9,8,Yes,0,373,45,8,0,Yes
PO100071,2025-03-01,Supplier_15,Home & Kitchen,3,302.52,907.56,4,6,No,2,52,26,3,29,No
PO100072,2025-01-18,Supplier_12,Office Supplies,9,491.4,4422.6,9,18,No,9,197,25,9,181,No
PO100073,2025-04-20,Supplier_09,Electronics,12,295.16,3541.92,10,9,Yes,0,373,56,12,329,No
PO100074,2025-05-09,Supplier_09,Office Supplies,5,354.48,1772.4,9,15,No,6,147,27,5,125,No
PO100075,2025-04-21,Supplier_07,Electronics,1,410.82,410.82,10,17,No,7,150,58,1,0,Yes
PO100076,2025-12-24,Supplier_07,Electronics,20,343.84,6876.8,6,7,No,1,92,41,20,0,Yes
PO100077,2025-11-23,Supplier_14,Home & Kitchen,18,146.58,2638.44,9,11,No,2,469,37,18,450,No
PO100078,2025-09-09,Supplier_01,Electronics,16,300.4,4806.4,9,20,No,11,255,35,16,0,Yes
PO100079,2025-04-28,Supplier_05,Electronics,5,465.64,2328.2,4,4,Yes,0,151,44,5,0,Yes
PO100080,2025-07-26,Supplier_07,Office Supplies,16,185.39,2966.24,5,4,Yes,0,87,26,16,77,No
PO100081,2025-01-09,Supplier_11,Home & Kitchen,16,146.85,2349.6,4,5,Yes,1,464,26,16,454,No
PO100082,2025-06-10,Supplier_07,Office Supplies,17,29.14,495.38,4,5,No,1,195,24,17,188,No
PO100083,2025-11-20,Supplier_05,Electronics,15,53.48,802.2,9,17,No,8,106,40,15,0,Yes
PO100084,2025-01-01,Supplier_02,Electronics,13,109.68,1425.84,4,6,No,2,226,49,13,0,Yes
PO100085,2025-12-21,Supplier_04,Home & Kitchen,18,40.21,723.78,7,9,No,2,187,23,18,182,No
PO100086,2025-08-25,Supplier_02,Office Supplies,5,260.22,1301.1,6,13,No,7,209,14,5,0,Yes
PO100087,2025-09-26,Supplier_11,Office Supplies,8,342.76,2742.08,10,11,No,1,163,20,8,151,No
PO100088,2025-02-06,Supplier_07,Electronics,5,204.58,1022.9,7,17,No,10,245,53,5,0,Yes
PO100089,2025-02-15,Supplier_04,Electronics,9,359.58,3236.22,4,5,Yes,1,85,44,9,0,Yes
PO100090,2025-09-25,Supplier_09,Electronics,18,398.81,7178.58,7,18,No,11,378,47,18,0,Yes
PO100091,2025-08-07,Supplier_08,Electronics,17,88.71,1508.07,10,11,No,1,103,35,17,0,Yes
PO100092,2025-02-24,Supplier_08,Electronics,9,337.89,3041.01,9,17,No,8,83,41,9,0,Yes
PO100093,2025-11-24,Supplier_09,Electronics,7,63.9,447.3,10,21,No,11,280,46,7,241,No
PO100094,2025-05-25,Supplier_10,Home & Kitchen,11,204.5,2249.5,8,11,No,3,361,27,11,345,No
PO100095,2025-10-12,Supplier_03,Electronics,3,390.02,1170.06,3,9,No,6,487,41,3,449,No
PO100096,2025-04-18,Supplier_03,Office Supplies,3,185.5,556.5,10,12,No,2,127,20,3,110,No
PO100097,2025-11-12,Supplier_11,Home & Kitchen,13,175.95,2287.35,6,6,Yes,0,401,20,13,394,No
PO100098,2025-03-07,Supplier_15,Electronics,18,195.64,3521.52,4,4,Yes,0,149,46,18,0,Yes
PO100099,2025-05-19,Supplier_09,Home & Kitchen,6,467.79,2806.74,9,12,No,3,318,26,6,298,No
PO100100,2025-10-31,Supplier_07,Electronics,12,334.6,4015.2,3,4,Yes,1,244,45,12,211,No
PO100101,2025-12-29,Supplier_10,Electronics,7,339.34,2375.38,4,11,No,7,187,55,7,0,Yes
PO100102,2025-08-02,Supplier_01,Home & Kitchen,1,402.12,402.12,4,2,Yes,0,212,33,1,180,No
PO100103,2025-02-10,Supplier_06,Electronics,11,369.85,4068.35,4,7,No,3,275,60,11,0,Yes
PO100104,2025-08-01,Supplier_06,Office Supplies,6,354.57,2127.42,4,5,Yes,1,31,18,6,19,No
PO100105,2025-07-06,Supplier_07,Electronics,10,310.32,3103.2,6,9,No,3,299,43,10,0,Yes
PO100106,2025-06-23,Supplier_12,Home & Kitchen,17,125.91,2140.47,3,4,No,1,287,34,17,270,No
PO100107,2025-11-30,Supplier_08,Electronics,15,425.45,6381.75,4,8,No,4,441,44,15,0,Yes
PO100108,2025-07-27,Supplier_13,Home & Kitchen,20,73.59,1471.8,7,7,Yes,0,124,35,20,109,No
PO100109,2025-10-28,Supplier_08,Office Supplies,19,400.31,7605.89,10,10,Yes,0,407,17,19,409,No
PO100110,2025-07-28,Supplier_01,Electronics,20,82.52,1650.4,4,9,No,5,208,43,20,0,Yes
PO100111,2025-07-02,Supplier_11,Home & Kitchen,17,240.51,4088.67,6,17,No,11,53,26,17,44,No
PO100112,2025-02-09,Supplier_12,Home & Kitchen,12,87.01,1044.12,3,4,No,1,154,32,12,134,No
PO100113,2025-07-14,Supplier_09,Electronics,8,383.86,3070.88,4,8,No,4,435,51,8,392,No
PO100114,2025-02-14,Supplier_15,Home & Kitchen,6,331.06,1986.36,5,16,No,11,421,36,6,391,No
PO100115,2025-07-25,Supplier_07,Office Supplies,15,455.16,6827.4,9,18,No,9,416,23,15,408,No
PO100116,2025-02-12,Supplier_12,Office Supplies,19,158.2,3005.8,8,16,No,8,101,29,19,91,No
PO100117,2025-08-08,Supplier_01,Home & Kitchen,6,292.86,1757.16,10,19,No,9,298,32,6,0,Yes
PO100118,2025-09-15,Supplier_01,Electronics,10,130.55,1305.5,6,7,No,1,462,54,10,0,Yes
PO100119,2025-01-28,Supplier_12,Electronics,11,227.89,2506.79,9,17,No,8,264,47,11,0,Yes
PO100120,2025-05-19,Supplier_14,Office Supplies,20,288.02,5760.4,7,5,Yes,0,282,25,20,0,Yes
PO100121,2025-08-04,Supplier_08,Home & Kitchen,4,481.37,1925.48,5,4,Yes,0,252,30,4,0,Yes
PO100122,2025-04-07,Supplier_12,Office Supplies,2,58.1,116.2,5,5,Yes,0,61,23,2,40,No
PO100123,2025-09-04,Supplier_05,Home & Kitchen,19,176.58,3355.02,8,15,No,7,489,31,19,477,No
PO100124,2025-05-23,Supplier_11,Electronics,12,76.74,920.88,6,13,No,7,249,58,12,203,No
PO100125,2025-09-27,Supplier_08,Home & Kitchen,6,179.84,1079.04,6,13,No,7,452,26,6,432,No
PO100126,2025-07-23,Supplier_05,Home & Kitchen,1,19.6,19.6,7,11,No,4,275,33,1,243,No
PO100127,2025-03-15,Supplier_02,Electronics,7,89.56,626.92,9,18,No,9,320,50,7,0,Yes
PO100128,2025-07-26,Supplier_03,Electronics,16,491.5,7864.0,10,17,No,7,190,43,16,0,Yes
PO100129,2025-06-13,Supplier_14,Home & Kitchen,18,73.87,1329.66,5,11,No,6,368,29,18,357,No
PO100130,2025-02-25,Supplier_07,Electronics,11,27.33,300.63,10,9,Yes,0,412,50,11,0,Yes
PO100131,2025-06-29,Supplier_15,Electronics,12,249.06,2988.72,7,8,No,1,48,54,12,0,Yes
PO100132,2025-11-24,Supplier_06,Electronics,8,447.54,3580.32,3,4,Yes,1,365,41,8,0,Yes
PO100133,2025-09-16,Supplier_01,Home & Kitchen,16,229.35,3669.6,4,10,No,6,149,35,16,130,No
PO100134,2025-04-05,Supplier_04,Electronics,7,447.24,3130.68,10,12,No,2,474,35,7,0,Yes
PO100135,2025-05-08,Supplier_06,Home & Kitchen,18,270.72,4872.96,3,11,No,8,323,30,18,311,No
PO100136,2025-09-24,Supplier_11,Electronics,18,173.95,3131.1,8,17,No,9,97,42,18,0,Yes
PO100137,2025-11-18,Supplier_11,Home & Kitchen,2,406.81,813.62,5,15,No,10,301,24,2,279,No
PO100138,2025-09-06,Supplier_12,Electronics,7,172.05,1204.35,6,17,No,11,42,44,7,0,Yes
PO100139,2025-07-16,Supplier_05,Home & Kitchen,12,31.82,381.84,3,11,No,8,227,24,12,215,No
PO100140,2025-06-01,Supplier_06,Office Supplies,17,206.43,3509.31,3,2,Yes,0,463,20,17,460,No
PO100141,2025-07-14,Supplier_09,Office Supplies,19,123.92,2354.48,10,12,No,2,150,26,19,143,No
PO100142,2025-12-06,Supplier_10,Home & Kitchen,5,57.71,288.55,6,8,No,2,148,33,5,120,No
PO100143,2025-01-11,Supplier_07,Office Supplies,1,117.47,117.47,8,7,Yes,0,362,29,1,334,No
PO100144,2025-06-06,Supplier_03,Electronics,8,55.57,444.56,6,16,No,10,434,52,8,0,Yes
PO100145,2025-10-26,Supplier_12,Office Supplies,11,142.72,1569.92,3,8,No,5,113,32,11,92,No
PO100146,2025-08-06,Supplier_08,Office Supplies,1,280.27,280.27,10,9,Yes,0,317,16,1,302,No
PO100147,2025-06-04,Supplier_15,Home & Kitchen,5,331.76,1658.8,10,12,No,2,483,30,5,458,No
PO100148,2025-06-29,Supplier_15,Office Supplies,18,455.09,8191.62,4,12,No,8,389,19,18,388,No
PO100149,2025-02-26,Supplier_14,Electronics,10,65.59,655.9,10,18,No,8,495,54,10,0,Yes
PO100150,2025-06-24,Supplier_15,Electronics,16,136.09,2177.44,7,7,Yes,0,463,53,16,426,No
PO100151,2025-03-14,Supplier_10,Office Supplies,7,215.41,1507.87,3,6,No,3,177,21,7,163,No
PO100152,2025-06-16,Supplier_05,Electronics,11,466.84,5135.24,7,10,No,3,161,46,11,126,No
PO100153,2025-09-14,Supplier_03,Office Supplies,5,145.61,728.05,9,8,Yes,0,218,26,5,197,No
PO100154,2025-03-16,Supplier_02,Home & Kitchen,14,248.71,3481.94,3,12,No,9,257,24,14,247,No
PO100155,2025-07-22,Supplier_15,Home & Kitchen,7,120.69,844.83,3,13,No,10,482,29,7,0,Yes
PO100156,2025-10-10,Supplier_05,Office Supplies,3,486.59,1459.77,9,9,Yes,0,94,21,3,76,No
PO100157,2025-12-06,Supplier_01,Home & Kitchen,11,332.7,3659.7,9,11,No,2,102,20,11,93,No
PO100158,2025-12-01,Supplier_01,Electronics,3,258.39,775.17,4,11,No,7,102,52,3,0,Yes
PO100159,2025-03-23,Supplier_05,Home & Kitchen,6,210.96,1265.76,3,5,No,2,96,25,6,0,Yes
PO100160,2025-09-16,Supplier_15,Electronics,1,445.97,445.97,3,4,Yes,1,51,58,1,1,No
PO100161,2025-11-22,Supplier_05,Office Supplies,5,498.0,2490.0,3,6,No,3,415,30,5,390,No
PO100162,2025-04-13,Supplier_02,Office Supplies,6,368.21,2209.26,7,12,No,5,189,18,6,177,No
PO100163,2025-04-21,Supplier_11,Electronics,3,299.42,898.26,7,9,No,2,98,45,3,0,Yes
PO100164,2025-02-18,Supplier_01,Electronics,5,475.0,2375.0,5,16,No,11,449,47,5,407,No
PO100165,2025-10-20,Supplier_08,Office Supplies,4,488.61,1954.44,8,7,Yes,0,417,29,4,392,No
PO100166,2025-11-17,Supplier_02,Electronics,12,75.0,900.0,7,8,Yes,1,75,43,12,0,Yes
PO100167,2025-02-03,Supplier_02,Electronics,14,437.68,6127.52,6,13,No,7,35,46,14,3,No
PO100168,2025-06-26,Supplier_06,Electronics,6,374.51,2247.06,4,13,No,9,490,45,6,0,Yes
PO100169,2025-09-03,Supplier_01,Office Supplies,19,397.93,7560.67,5,8,No,3,176,21,19,174,No
PO100170,2025-11-17,Supplier_13,Home & Kitchen,2,283.48,566.96,7,13,No,6,297,30,2,0,Yes
PO100171,2025-07-16,Supplier_10,Electronics,14,480.92,6732.88,5,12,No,7,112,35,14,91,No
PO100172,2025-12-04,Supplier_15,Electronics,1,326.5,326.5,3,9,No,6,55,42,1,0,Yes
PO100173,2025-04-23,Supplier_08,Electronics,17,285.1,4846.7,10,13,No,3,233,46,17,0,Yes
PO100174,2025-10-01,Supplier_09,Home & Kitchen,7,411.44,2880.08,7,8,Yes,1,228,29,7,206,No
PO100175,2025-11-21,Supplier_10,Electronics,4,41.14,164.56,7,6,Yes,0,194,47,4,151,No
PO100176,2025-08-30,Supplier_07,Home & Kitchen,11,200.22,2202.42,9,20,No,11,215,18,11,208,No
PO100177,2025-06-09,Supplier_09,Office Supplies,14,383.29,5366.06,9,9,Yes,0,391,26,14,379,No
PO100178,2025-04-10,Supplier_09,Home & Kitchen,15,37.96,569.4,3,1,Yes,0,128,33,15,110,No
PO100179,2025-12-16,Supplier_14,Electronics,20,149.71,2994.2,10,11,Yes,1,463,43,20,440,No
PO100180,2025-05-25,Supplier_05,Electronics,19,254.51,4835.69,7,18,No,11,266,38,19,0,Yes
PO100181,2025-04-11,Supplier_14,Electronics,20,390.62,7812.4,5,13,No,8,298,56,20,0,Yes
PO100182,2025-09-22,Supplier_03,Home & Kitchen,7,342.09,2394.63,8,11,No,3,109,19,7,97,No
PO100183,2025-01-15,Supplier_03,Electronics,1,402.09,402.09,3,13,No,10,402,41,1,0,Yes
PO100184,2025-05-15,Supplier_04,Electronics,12,493.09,5917.08,5,12,No,7,328,52,12,0,Yes
PO100185,2025-09-22,Supplier_15,Office Supplies,4,314.74,1258.96,7,12,No,5,260,26,4,238,No
PO100186,2025-02-23,Supplier_04,Home & Kitchen,7,331.23,2318.61,9,11,No,2,464,30,7,441,No
PO100187,2025-04-26,Supplier_12,Home & Kitchen,8,139.44,1115.52,3,2,Yes,0,220,26,8,202,No
PO100188,2025-01-31,Supplier_09,Electronics,18,432.27,7780.86,3,12,No,9,309,47,18,280,No
PO100189,2025-07-08,Supplier_10,Electronics,2,18.92,37.84,8,15,No,7,93,48,2,47,No
PO100190,2025-02-04,Supplier_02,Home & Kitchen,6,340.91,2045.46,4,12,No,8,429,47,6,388,No
PO100191,2025-03-11,Supplier_10,Electronics,20,44.49,889.8,5,9,No,4,493,47,20,0,Yes
PO100192,2025-05-10,Supplier_02,Electronics,13,297.33,3865.29,5,6,No,1,354,45,13,0,Yes
PO100193,2025-10-14,Supplier_09,Office Supplies,2,410.3,820.6,3,2,Yes,0,188,24,2,166,No
PO100194,2025-02-17,Supplier_12,Office Supplies,18,477.15,8588.7,5,6,Yes,1,163,25,18,156,No
PO100195,2025-06-17,Supplier_14,Office Supplies,10,170.18,1701.8,3,8,No,5,492,21,10,481,No
PO100196,2025-05-14,Supplier_15,Office Supplies,5,379.18,1895.9,8,19,No,11,350,21,5,334,No
PO100197,2025-07-02,Supplier_04,Home & Kitchen,20,41.54,830.8,10,12,No,2,73,27,20,66,No
PO100198,2025-04-27,Supplier_12,Electronics,6,424.51,2547.06,7,14,No,7,221,38,6,0,Yes
PO100199,2025-10-21,Supplier_09,Office Supplies,20,474.15,9483.0,9,14,No,5,407,21,20,406,No
PO100200,2025-05-08,Supplier_12,Home & Kitchen,3,445.14,1335.42,5,5,Yes,0,418,33,3,388,No
PO100201,2025-12-21,Supplier_13,Electronics,11,345.84,3804.24,3,9,No,6,421,42,11,0,Yes
PO100202,2025-12-12,Supplier_08,Office Supplies,19,268.03,5092.57,7,16,No,9,394,16,19,397,No
PO100203,2025-02-04,Supplier_03,Office Supplies,7,156.65,1096.55,4,7,No,3,73,29,7,51,No
PO100204,2025-12-09,Supplier_12,Electronics,14,144.03,2016.42,8,9,Yes,1,454,37,14,0,Yes
PO100205,2025-03-27,Supplier_10,Home & Kitchen,12,127.1,1525.2,4,3,Yes,0,434,28,12,418,No
PO100206,2025-06-09,Supplier_03,Electronics,8,151.49,1211.92,4,7,No,3,290,36,8,0,Yes
PO100207,2025-11-16,Supplier_07,Home & Kitchen,5,245.17,1225.85,5,12,No,7,233,29,5,209,No
PO100208,2025-05-17,Supplier_03,Electronics,14,380.94,5333.16,5,12,No,7,445,39,14,420,No
PO100209,2025-08-04,Supplier_12,Electronics,2,371.37,742.74,10,13,No,3,280,46,2,236,No
PO100210,2025-06-03,Supplier_06,Office Supplies,20,403.93,8078.6,4,5,No,1,482,23,20,479,No
PO100211,2025-09-09,Supplier_02,Home & Kitchen,14,342.63,4796.82,5,6,No,1,72,32,14,54,No
PO100212,2025-10-09,Supplier_05,Office Supplies,18,382.66,6887.88,4,15,No,11,140,16,18,142,No
PO100213,2025-07-18,Supplier_10,Home & Kitchen,3,303.89,911.67,3,5,No,2,235,27,3,211,No
PO100214,2025-08-20,Supplier_09,Electronics,1,155.81,155.81,5,6,No,1,130,48,1,0,Yes
PO100215,2025-04-24,Supplier_13,Office Supplies,5,355.99,1779.95,5,8,No,3,468,29,5,444,No
PO100216,2025-06-29,Supplier_06,Electronics,1,492.31,492.31,10,14,No,4,497,39,1,0,Yes
PO100217,2025-09-23,Supplier_10,Office Supplies,19,432.91,8225.29,10,11,No,1,420,26,19,413,No
PO100218,2025-02-25,Supplier_15,Electronics,18,155.94,2806.92,7,7,Yes,0,66,54,18,30,No
PO100219,2025-09-10,Supplier_05,Electronics,1,325.8,325.8,7,8,Yes,1,408,51,1,0,Yes
PO100220,2025-03-14,Supplier_01,Home & Kitchen,13,128.12,1665.56,3,12,No,9,270,31,13,252,No
PO100221,2025-09-01,Supplier_10,Electronics,16,176.48,2823.68,8,7,Yes,0,362,39,16,0,Yes
PO100222,2025-05-12,Supplier_10,Home & Kitchen,13,287.11,3732.43,6,7,Yes,1,390,23,13,0,Yes
PO100223,2025-06-09,Supplier_06,Electronics,5,497.8,2489.0,8,6,Yes,0,160,39,5,0,Yes
PO100224,2025-10-31,Supplier_09,Electronics,19,474.91,9023.29,6,16,No,10,183,48,19,0,Yes
PO100225,2025-04-23,Supplier_11,Home & Kitchen,12,20.32,243.84,5,4,Yes,0,486,32,12,466,No
PO100226,2025-11-07,Supplier_13,Home & Kitchen,17,440.63,7490.71,4,14,No,10,82,20,17,79,No
PO100227,2025-08-21,Supplier_02,Electronics,5,478.08,2390.4,9,15,No,6,64,46,5,0,Yes
PO100228,2025-02-23,Supplier_08,Electronics,19,406.37,7721.03,8,11,No,3,70,44,19,0,Yes
PO100229,2025-09-04,Supplier_05,Electronics,10,146.58,1465.8,4,6,No,2,462,39,10,0,Yes
PO100230,2025-10-15,Supplier_06,Electronics,8,306.54,2452.32,8,14,No,6,252,52,8,0,Yes
PO100231,2025-11-25,Supplier_01,Home & Kitchen,11,317.71,3494.81,9,10,No,1,182,29,11,164,No
PO100232,2025-09-23,Supplier_07,Home & Kitchen,12,298.27,3579.24,6,7,Yes,1,464,31,12,445,No
PO100233,2025-03-10,Supplier_02,Electronics,18,116.7,2100.6,7,13,No,6,142,52,18,0,Yes
PO100234,2025-11-21,Supplier_14,Electronics,7,181.91,1273.37,5,7,No,2,93,43,7,57,No
PO100235,2025-09-23,Supplier_09,Home & Kitchen,3,411.44,1234.32,4,11,No,7,208,25,3,186,No
PO100236,2025-04-04,Supplier_07,Home & Kitchen,9,152.94,1376.46,4,7,No,3,295,25,9,279,No
PO100237,2025-04-10,Supplier_04,Home & Kitchen,15,108.96,1634.4,6,7,No,1,382,24,15,373,No
PO100238,2025-04-16,Supplier_15,Home & Kitchen,10,113.24,1132.4,9,18,No,9,306,20,10,296,No
PO100239,2025-06-13,Supplier_08,Electronics,13,363.51,4725.63,7,17,No,10,440,47,13,0,Yes
PO100240,2025-01-10,Supplier_15,Electronics,11,482.15,5303.65,4,5,No,1,304,45,11,270,No
PO100241,2025-05-03,Supplier_10,Electronics,14,115.04,1610.56,5,6,Yes,1,133,43,14,0,Yes
PO100242,2025-05-12,Supplier_15,Home & Kitchen,16,232.96,3727.36,6,6,Yes,0,347,32,16,331,No
PO100243,2025-12-09,Supplier_14,Electronics,19,157.28,2988.32,8,9,Yes,1,257,53,19,0,Yes
PO100244,2025-07-23,Supplier_12,Home & Kitchen,16,138.63,2218.08,6,14,No,8,450,33,16,433,No
PO100245,2025-04-21,Supplier_06,Office Supplies,15,18.37,275.55,4,9,No,5,282,25,15,272,No
